name,slug,country,region,subregion,latitude,longitude,elevation_base_m,elevation_summit_m,aspect,vertical_drop_m,num_runs,season_start_month,season_end_month,timezone,website_url
Las Lenas,las-lenas,AR,Andes,Mendoza,-35.1630,-70.0731,2240,3430,N,1230,42,6,10,America/Argentina/Buenos_Aires,https://www.laslenas.com
Cerro Catedral,cerro-catedral,AR,Andes,Patagonia,-41.1663,-71.4264,1030,2388,N,1358,76,6,10,America/Argentina/Buenos_Aires,https://www.catedralaltapatagonia.com
Valle Nevado,valle-nevado,CL,Andes,Metropolitan,-33.3581,-70.2924,2860,3670,SE,810,39,6,10,America/Santiago,https://www.vallenevado.com
Portillo,portillo,CL,Andes,Valparaiso,-32.8338,-70.1295,2590,3310,SE,720,14,6,10,America/Santiago,https://www.skiportillo.com
Yongpyong,yongpyong,KR,Korea,Gangwon,37.7064,128.7418,700,1458,N,759,31,11,3,Asia/Seoul,https://www.yongpyong.co.kr
High1,high1,KR,Korea,Gangwon,37.1900,128.7501,800,1340,N,540,19,11,3,Asia/Seoul,https://www.high1.com
Portes du Soleil,portes-du-soleil,FR,Alps,France,46.1904,6.7795,1000,2466,SW,1466,200,12,4,Europe/Paris,https://www.portesdusoleil.com
La Rosiere,la-rosiere,FR,Alps,France,45.6340,6.8535,1175,2642,S,1467,40,12,4,Europe/Paris,https://www.larosiere.net
Engelberg,engelberg,CH,Alps,Switzerland,46.8213,8.4070,1050,3020,NE,1970,45,11,4,Europe/Zurich,https://www.engelberg.ch
Arosa Lenzerheide,arosa-lenzerheide,CH,Alps,Switzerland,46.7874,9.6777,1230,2865,SW,1635,225,11,4,Europe/Zurich,https://www.arosalenzerheide.swiss
Bad Gastein,bad-gastein,AT,Alps,Austria,47.1134,13.1332,838,2686,NE,1848,200,11,4,Europe/Vienna,https://www.gastein.com
Jasper Marmot Basin,jasper-marmot-basin,CA,Rocky Mountains,Alberta,52.8680,-118.0539,1698,2612,NW,914,91,11,4,America/Edmonton,https://www.skimarmot.com
Puy Saint Vincent,puy-saint-vincent,FR,Alps,France,44.8440,6.4829,1400,2750,N,1290,60,12,4,Europe/Paris,https://www.puysaintvincent.com
Arabba,arabba,IT,Alps,Italy,46.4989,11.8762,1600,2950,N,1350,68,12,4,Europe/Rome,https://www.arabba.it
Hinterstoder,hinterstoder,AT,Alps,Austria,47.6907,14.1505,600,1860,SW,1260,45,11,4,Europe/Vienna,https://www.hinterstoder.at
Pizol,pizol,CH,Alps,Switzerland,46.9857,9.3957,1227,2844,SE,1617,30,11,4,Europe/Zurich,https://www.pizol.com
Bansko,bansko,BG,Eastern Europe,Bulgaria,41.8619,23.4907,990,2600,N,1610,75,11,4,Europe/Sofia,https://www.banskoski.com
Borovets,borovets,BG,Eastern Europe,Bulgaria,42.2622,23.5896,1350,2550,N,1200,35,11,4,Europe/Sofia,https://www.borovets-bg.com
